Time resolution is 1 ps
[5000] counter=1 clk_i=1 rst_i=0 led_o=0
[10000] counter=2 clk_i=0 rst_i=0 led_o=0
[15000] counter=3 clk_i=1 rst_i=0 led_o=0
[20000] counter=4 clk_i=0 rst_i=0 led_o=0
[25000] counter=5 clk_i=1 rst_i=0 led_o=0
[30000] counter=6 clk_i=0 rst_i=0 led_o=0
[35000] counter=7 clk_i=1 rst_i=0 led_o=0
[40000] counter=8 clk_i=0 rst_i=0 led_o=0
[45000] counter=9 clk_i=1 rst_i=0 led_o=0
[50000] counter=10 clk_i=0 rst_i=0 led_o=0
[55000] counter=11 clk_i=1 rst_i=0 led_o=0
[60000] counter=12 clk_i=0 rst_i=0 led_o=0
[65000] counter=13 clk_i=1 rst_i=0 led_o=0
[70000] counter=14 clk_i=0 rst_i=0 led_o=0
[75000] counter=15 clk_i=1 rst_i=0 led_o=0
[80000] counter=16 clk_i=0 rst_i=0 led_o=0
[85000] counter=17 clk_i=1 rst_i=0 led_o=0
[90000] counter=18 clk_i=0 rst_i=0 led_o=0
[95000] counter=19 clk_i=1 rst_i=0 led_o=0
[100000] counter=20 clk_i=0 rst_i=0 led_o=0
[105000] counter=21 clk_i=1 rst_i=0 led_o=0
[110000] counter=22 clk_i=0 rst_i=0 led_o=0
[115000] counter=23 clk_i=1 rst_i=0 led_o=0
[120000] counter=24 clk_i=0 rst_i=0 led_o=0
[125000] counter=25 clk_i=1 rst_i=0 led_o=0
[130000] counter=26 clk_i=0 rst_i=0 led_o=0
[135000] counter=27 clk_i=1 rst_i=0 led_o=0
[140000] counter=28 clk_i=0 rst_i=0 led_o=0
[145000] counter=29 clk_i=1 rst_i=0 led_o=0
[150000] counter=30 clk_i=0 rst_i=0 led_o=0
[155000] counter=31 clk_i=1 rst_i=0 led_o=0
[160000] counter=32 clk_i=0 rst_i=0 led_o=0
[165000] counter=33 clk_i=1 rst_i=0 led_o=0
[170000] counter=34 clk_i=0 rst_i=0 led_o=0
[175000] counter=35 clk_i=1 rst_i=0 led_o=0
[180000] counter=36 clk_i=0 rst_i=0 led_o=0
[185000] counter=37 clk_i=1 rst_i=0 led_o=0
[190000] counter=38 clk_i=0 rst_i=0 led_o=0
[195000] counter=39 clk_i=1 rst_i=0 led_o=0
[200000] counter=40 clk_i=0 rst_i=1 led_o=0
[205000] counter=41 clk_i=1 rst_i=1 led_o=0
[210000] counter=42 clk_i=0 rst_i=1 led_o=0
[215000] counter=43 clk_i=1 rst_i=1 led_o=0
[220000] counter=44 clk_i=0 rst_i=1 led_o=0
[225000] counter=45 clk_i=1 rst_i=1 led_o=0
[230000] counter=46 clk_i=0 rst_i=1 led_o=0
[235000] counter=47 clk_i=1 rst_i=1 led_o=0
[240000] counter=48 clk_i=0 rst_i=1 led_o=0
[245000] counter=49 clk_i=1 rst_i=1 led_o=0
[250000] counter=50 clk_i=0 rst_i=1 led_o=0
[255000] counter=51 clk_i=1 rst_i=1 led_o=0
[260000] counter=52 clk_i=0 rst_i=1 led_o=0
[265000] counter=53 clk_i=1 rst_i=1 led_o=0
[270000] counter=54 clk_i=0 rst_i=1 led_o=0
[275000] counter=55 clk_i=1 rst_i=1 led_o=0
[280000] counter=56 clk_i=0 rst_i=1 led_o=0
[285000] counter=57 clk_i=1 rst_i=1 led_o=0
[290000] counter=58 clk_i=0 rst_i=1 led_o=0
[295000] counter=59 clk_i=1 rst_i=1 led_o=0
[300000] counter=60 clk_i=0 rst_i=1 led_o=0
[305000] counter=61 clk_i=1 rst_i=1 led_o=0
[310000] counter=62 clk_i=0 rst_i=1 led_o=0
[315000] counter=63 clk_i=1 rst_i=1 led_o=0
[320000] counter=64 clk_i=0 rst_i=1 led_o=0
[325000] counter=65 clk_i=1 rst_i=1 led_o=0
[330000] counter=66 clk_i=0 rst_i=1 led_o=0
[335000] counter=67 clk_i=1 rst_i=1 led_o=0
[340000] counter=68 clk_i=0 rst_i=1 led_o=0
[345000] counter=69 clk_i=1 rst_i=1 led_o=0
[350000] counter=70 clk_i=0 rst_i=1 led_o=0
[355000] counter=71 clk_i=1 rst_i=1 led_o=1
[360000] counter=72 clk_i=0 rst_i=1 led_o=1
[365000] counter=73 clk_i=1 rst_i=1 led_o=1
[370000] counter=74 clk_i=0 rst_i=1 led_o=1
[375000] counter=75 clk_i=1 rst_i=1 led_o=1
[380000] counter=76 clk_i=0 rst_i=1 led_o=1
[385000] counter=77 clk_i=1 rst_i=1 led_o=1
[390000] counter=78 clk_i=0 rst_i=1 led_o=1
[395000] counter=79 clk_i=1 rst_i=1 led_o=1
[400000] counter=80 clk_i=0 rst_i=0 led_o=0
[405000] counter=81 clk_i=1 rst_i=0 led_o=0
[410000] counter=82 clk_i=0 rst_i=0 led_o=0
[415000] counter=83 clk_i=1 rst_i=0 led_o=0
[420000] counter=84 clk_i=0 rst_i=0 led_o=0
[425000] counter=85 clk_i=1 rst_i=0 led_o=0
[430000] counter=86 clk_i=0 rst_i=0 led_o=0
[435000] counter=87 clk_i=1 rst_i=0 led_o=0
[440000] counter=88 clk_i=0 rst_i=0 led_o=0
[445000] counter=89 clk_i=1 rst_i=0 led_o=0
[450000] counter=90 clk_i=0 rst_i=0 led_o=0
[455000] counter=91 clk_i=1 rst_i=0 led_o=0
[460000] counter=92 clk_i=0 rst_i=0 led_o=0
[465000] counter=93 clk_i=1 rst_i=0 led_o=0
[470000] counter=94 clk_i=0 rst_i=0 led_o=0
[475000] counter=95 clk_i=1 rst_i=0 led_o=0
[480000] counter=96 clk_i=0 rst_i=0 led_o=0
[485000] counter=97 clk_i=1 rst_i=0 led_o=0
[490000] counter=98 clk_i=0 rst_i=0 led_o=0
[495000] counter=99 clk_i=1 rst_i=0 led_o=0
[500000] counter=100 clk_i=0 rst_i=0 led_o=0
[505000] counter=101 clk_i=1 rst_i=0 led_o=0
[510000] counter=102 clk_i=0 rst_i=0 led_o=0
[515000] counter=103 clk_i=1 rst_i=0 led_o=0
[520000] counter=104 clk_i=0 rst_i=0 led_o=0
[525000] counter=105 clk_i=1 rst_i=0 led_o=0
[530000] counter=106 clk_i=0 rst_i=0 led_o=0
[535000] counter=107 clk_i=1 rst_i=0 led_o=0
[540000] counter=108 clk_i=0 rst_i=0 led_o=0
[545000] counter=109 clk_i=1 rst_i=0 led_o=0
[550000] counter=110 clk_i=0 rst_i=0 led_o=0
[555000] counter=111 clk_i=1 rst_i=0 led_o=0
[560000] counter=112 clk_i=0 rst_i=0 led_o=0
[565000] counter=113 clk_i=1 rst_i=0 led_o=0
[570000] counter=114 clk_i=0 rst_i=0 led_o=0
[575000] counter=115 clk_i=1 rst_i=0 led_o=0
[580000] counter=116 clk_i=0 rst_i=0 led_o=0
[585000] counter=117 clk_i=1 rst_i=0 led_o=0
[590000] counter=118 clk_i=0 rst_i=0 led_o=0
[595000] counter=119 clk_i=1 rst_i=0 led_o=0
[600000] counter=120 clk_i=0 rst_i=0 led_o=0
[605000] counter=121 clk_i=1 rst_i=0 led_o=0
[610000] counter=122 clk_i=0 rst_i=0 led_o=0
[615000] counter=123 clk_i=1 rst_i=0 led_o=0
[620000] counter=124 clk_i=0 rst_i=0 led_o=0
[625000] counter=125 clk_i=1 rst_i=0 led_o=0
[630000] counter=126 clk_i=0 rst_i=0 led_o=0
[635000] counter=127 clk_i=1 rst_i=0 led_o=0
[640000] counter=128 clk_i=0 rst_i=0 led_o=0
[645000] counter=129 clk_i=1 rst_i=0 led_o=0
[650000] counter=130 clk_i=0 rst_i=0 led_o=0
[655000] counter=131 clk_i=1 rst_i=0 led_o=0
[660000] counter=132 clk_i=0 rst_i=0 led_o=0
[665000] counter=133 clk_i=1 rst_i=0 led_o=0
[670000] counter=134 clk_i=0 rst_i=0 led_o=0
[675000] counter=135 clk_i=1 rst_i=0 led_o=0
[680000] counter=136 clk_i=0 rst_i=0 led_o=0
[685000] counter=137 clk_i=1 rst_i=0 led_o=0
[690000] counter=138 clk_i=0 rst_i=0 led_o=0
[695000] counter=139 clk_i=1 rst_i=0 led_o=0
[700000] counter=140 clk_i=0 rst_i=0 led_o=0
[705000] counter=141 clk_i=1 rst_i=0 led_o=0
[710000] counter=142 clk_i=0 rst_i=0 led_o=0
[715000] counter=143 clk_i=1 rst_i=0 led_o=0
[720000] counter=144 clk_i=0 rst_i=0 led_o=0
[725000] counter=145 clk_i=1 rst_i=0 led_o=0
[730000] counter=146 clk_i=0 rst_i=0 led_o=0
[735000] counter=147 clk_i=1 rst_i=0 led_o=0
[740000] counter=148 clk_i=0 rst_i=0 led_o=0
[745000] counter=149 clk_i=1 rst_i=0 led_o=0
[750000] counter=150 clk_i=0 rst_i=0 led_o=0
[755000] counter=151 clk_i=1 rst_i=0 led_o=0
[760000] counter=152 clk_i=0 rst_i=0 led_o=0
[765000] counter=153 clk_i=1 rst_i=0 led_o=0
[770000] counter=154 clk_i=0 rst_i=0 led_o=0
[775000] counter=155 clk_i=1 rst_i=0 led_o=0
[780000] counter=156 clk_i=0 rst_i=0 led_o=0
[785000] counter=157 clk_i=1 rst_i=0 led_o=0
[790000] counter=158 clk_i=0 rst_i=0 led_o=0
[795000] counter=159 clk_i=1 rst_i=0 led_o=0
[800000] counter=160 clk_i=0 rst_i=0 led_o=0
[805000] counter=161 clk_i=1 rst_i=0 led_o=0
[810000] counter=162 clk_i=0 rst_i=0 led_o=0
[815000] counter=163 clk_i=1 rst_i=0 led_o=0
[820000] counter=164 clk_i=0 rst_i=0 led_o=0
[825000] counter=165 clk_i=1 rst_i=0 led_o=0
[830000] counter=166 clk_i=0 rst_i=0 led_o=0
[835000] counter=167 clk_i=1 rst_i=0 led_o=0
[840000] counter=168 clk_i=0 rst_i=0 led_o=0
[845000] counter=169 clk_i=1 rst_i=0 led_o=0
[850000] counter=170 clk_i=0 rst_i=0 led_o=0
[855000] counter=171 clk_i=1 rst_i=0 led_o=0
[860000] counter=172 clk_i=0 rst_i=0 led_o=0
[865000] counter=173 clk_i=1 rst_i=0 led_o=0
[870000] counter=174 clk_i=0 rst_i=0 led_o=0
[875000] counter=175 clk_i=1 rst_i=0 led_o=0
